dataset,folder,source,organism,sample_type,image_file,label_file,image_path,label_path,dimensions,spacing
jrc_macrophage-2_recon-1_crop31,cellmap24_macrophage,cellmap24_macrophage,human,macrophage,jrc_macrophage-2_recon-1_crop31_im.h5,jrc_macrophage-2_recon-1_crop31_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop31_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop31_mito.h5,"[63, 75, 75]","[8.0, 8.0, 8.0]"
pinky_stitched_vol19-vol34_realigned,existing/microns,existing/microns,pinky,stitched,pinky_stitched_vol19-vol34_realigned_im.h5,pinky_stitched_vol19-vol34_realigned_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_stitched_vol19-vol34_realigned_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_stitched_vol19-vol34_realigned_mito.h5,"[132, 2432, 2432]","[40.0, 8.0, 8.0]"
pinky_vol104,existing/microns,existing/microns,pinky,vol104,pinky_vol104_im.h5,pinky_vol104_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol104_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol104_mito.h5,"[58, 1388, 1112]","[40.0, 8.0, 8.0]"
pinky_vol102,existing/microns,existing/microns,pinky,vol102,pinky_vol102_im.h5,pinky_vol102_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol102_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol102_mito.h5,"[53, 1002, 868]","[40.0, 8.0, 8.0]"
pinky_vol101,existing/microns,existing/microns,pinky,vol101,pinky_vol101_im.h5,pinky_vol101_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol101_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol101_mito.h5,"[48, 1462, 1170]","[40.0, 8.0, 8.0]"
pinky_vol503,existing/microns,existing/microns,pinky,vol503,pinky_vol503_im.h5,pinky_vol503_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol503_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol503_mito.h5,"[132, 1024, 1024]","[40.0, 8.0, 8.0]"
pinky_stitched_vol40-vol41,existing/microns,existing/microns,pinky,stitched,pinky_stitched_vol40-vol41_im.h5,pinky_stitched_vol40-vol41_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_stitched_vol40-vol41_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_stitched_vol40-vol41_mito.h5,"[102, 1536, 1024]","[40.0, 8.0, 8.0]"
pinky_vol103,existing/microns,existing/microns,pinky,vol103,pinky_vol103_im.h5,pinky_vol103_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol103_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol103_mito.h5,"[48, 912, 862]","[40.0, 8.0, 8.0]"
pinky_stitched_vol19-vol34,existing/microns,existing/microns,pinky,stitched,pinky_stitched_vol19-vol34_im.h5,pinky_stitched_vol19-vol34_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_stitched_vol19-vol34_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_stitched_vol19-vol34_mito.h5,"[100, 2048, 2048]","[40.0, 8.0, 8.0]"
pinky_vol501,existing/microns,existing/microns,pinky,vol501,pinky_vol501_im.h5,pinky_vol501_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol501_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol501_mito.h5,"[144, 1536, 1536]","[40.0, 8.0, 8.0]"
pinky_vol401,existing/microns,existing/microns,pinky,vol401,pinky_vol401_im.h5,pinky_vol401_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol401_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol401_mito.h5,"[132, 1024, 1024]","[40.0, 8.0, 8.0]"
pinky_vol502,existing/microns,existing/microns,pinky,vol502,pinky_vol502_im.h5,pinky_vol502_mito.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol502_im.h5,/projects/weilab/dataset/MitoLE/existing/microns/pinky_vol502_mito.h5,"[132, 1024, 1024]","[40.0, 8.0, 8.0]"
vol1,guay21,guay21,vol1,vol1,vol1_im.h5,vol1_mito.h5,/projects/weilab/dataset/MitoLE/guay21/vol1_im.h5,/projects/weilab/dataset/MitoLE/guay21/vol1_mito.h5,"[24, 800, 800]","[50.0, 10.0, 10.0]"
vol2,guay21,guay21,vol2,vol2,vol2_im.h5,vol2_mito.h5,/projects/weilab/dataset/MitoLE/guay21/vol2_im.h5,/projects/weilab/dataset/MitoLE/guay21/vol2_mito.h5,"[121, 609, 400]","[50.0, 10.0, 10.0]"
vol0,guay21,guay21,vol0,vol0,vol0_im.h5,vol0_mito.h5,/projects/weilab/dataset/MitoLE/guay21/vol0_im.h5,/projects/weilab/dataset/MitoLE/guay21/vol0_mito.h5,"[50, 800, 800]","[50.0, 10.0, 10.0]"
vol0,haberl18,haberl18,vol0,vol0,vol0_im.h5,vol0_mito.h5,/projects/weilab/dataset/MitoLE/haberl18/vol0_im.h5,/projects/weilab/dataset/MitoLE/haberl18/vol0_mito.h5,"[20, 256, 256]","[24.0, 10.0, 10.0]"
vol1,haberl18,haberl18,vol1,vol1,vol1_im.h5,vol1_mito.h5,/projects/weilab/dataset/MitoLE/haberl18/vol1_im.h5,/projects/weilab/dataset/MitoLE/haberl18/vol1_mito.h5,"[10, 256, 256]","[24.0, 10.0, 10.0]"
neg1,han24,han24,neg1,neg1,neg1_im.h5,neg1_mito.h5,/projects/weilab/dataset/MitoLE/han24/neg1_im.h5,/projects/weilab/dataset/MitoLE/han24/neg1_mito.h5,"[374, 1110, 1056]","[40.0, 8.0, 8.0]"
pos1,han24,han24,pos1,pos1,pos1_im.h5,pos1_mito.h5,/projects/weilab/dataset/MitoLE/han24/pos1_im.h5,/projects/weilab/dataset/MitoLE/han24/pos1_mito.h5,"[371, 1640, 1632]","[40.0, 8.0, 8.0]"
pos0,han24,han24,pos0,pos0,pos0_im.h5,pos0_mito.h5,/projects/weilab/dataset/MitoLE/han24/pos0_im.h5,/projects/weilab/dataset/MitoLE/han24/pos0_mito.h5,"[362, 1756, 1650]","[40.0, 8.0, 8.0]"
pos2,han24,han24,pos2,pos2,pos2_im.h5,pos2_mask.h5,/projects/weilab/dataset/MitoLE/han24/pos2_im.h5,/projects/weilab/dataset/MitoLE/han24/pos2_mask.h5,"[281, 1343, 1243]","[40.0, 8.0, 8.0]"
neg0,han24,han24,neg0,neg0,neg0_im.h5,neg0_mito.h5,/projects/weilab/dataset/MitoLE/han24/neg0_im.h5,/projects/weilab/dataset/MitoLE/han24/neg0_mito.h5,"[265, 1204, 1204]","[40.0, 8.0, 8.0]"
vol1,jiang25,jiang25,vol1,vol1,vol1_im.h5,vol1_mito.h5,/projects/weilab/dataset/MitoLE/jiang25/vol1_im.h5,/projects/weilab/dataset/MitoLE/jiang25/vol1_mito.h5,"[100, 1000, 1000]","[40.0, 15.0, 15.0]"
vol2,jiang25,jiang25,vol2,vol2,vol2_im.h5,vol2_mito.h5,/projects/weilab/dataset/MitoLE/jiang25/vol2_im.h5,/projects/weilab/dataset/MitoLE/jiang25/vol2_mito.h5,"[100, 1000, 1000]","[40.0, 15.0, 15.0]"
vol0,jiang25,jiang25,vol0,vol0,vol0_im.h5,vol0_mito.h5,/projects/weilab/dataset/MitoLE/jiang25/vol0_im.h5,/projects/weilab/dataset/MitoLE/jiang25/vol0_mito.h5,"[100, 1000, 1000]","[40.0, 15.0, 15.0]"
